media	title	num_likes	uri	entities
schwarzwaelder-bote.de	Donaueschingen: Großeinsatz: Schlägerei in Flüchtlingsunterkunft - Donaueschingen	70	http://www.schwarzwaelder-bote.de/inhalt.donaueschingen-grosseinsatz-nach-schlaegerei-in-fluechtlingsunterkunft.e194c929-189b-453a-a31e-4d89143688a6.html
bz-berlin.de	Hochschwangere und Beifahrer attackieren Polizei, Meute macht mit	67	http://www.bz-berlin.de/berlin/mitte/hochschwangere-und-beifahrer-attackieren-polizei-meute-macht-mit
Compact Magazin	NO_TITLE	64	https://abo.compact-shop.de/
Politically Incorrect	Betrugsskandal an der LAB Braunschweig	63	http://www.pi-news.net/2017/01/betrugsskandal-an-der-lab-braunschweig/
Ein Prozent für unser Land	Merkels Wendevergleich: „Flüchtlinge“ sind wie „Ossis“	59	https://einprozent.de/merkels-wendevergleich-fluechtlingenafris-sind-wie-ossis/
philosophia-perennis.com	Berlin rotrotgrün: Wurde Polizisten Vorgehen gegen linksradikale Gewalttäter untersagt?	58	https://philosophia-perennis.com/2017/01/24/berlin-rrg-linksradikale/
Epoch Times	Flüchtlingskrise: BA zahlt 300 Millionen Euro für erfolglose Deutschkurse	56	http://www.epochtimes.de/politik/deutschland/fluechtlingskrise-ba-zahlt-300-millionen-euro-fuer-erfolglose-deutschkurse-a2034724.html	
Rheinische Post	Waffenlieferungen in den Irak: Bundesregierung keine Kenntnisse über Verwendung	52	http://www.rp-online.de/politik/deutschland/waffenlieferungen-in-den-irak-bundesregierung-keine-kenntnisse-ueber-verwendung-aid-1.6563940	
krone.at	Real Madrid entfernt Kreuz aus Vereinslogo - Für muslimische Fans	49	http://www.krone.at/fussball/real-madrid-entfernt-kreuz-aus-vereinslogo-fuer-muslimische-fans-story-550583
Rheinische Post	Migrationsforscher Ruud Koopmans: 'Mindestens 50 Millionen Muslime sind gewaltbereit'	42	http://www.rp-online.de/politik/mindestens-50-millionen-muslime-sind-gewaltbereit-aid-1.6563092	
n-tv.de	Parallelgesellschaft in Blackburn: Muslime übernehmen eine britische Stadt	37	http://mobil.n-tv.de/mediathek/sendungen/auslandsreport/Muslime-uebernehmen-eine-britische-Stadt-article19654042.html
krone.at	Jetzt drohen Attacken mit tödlichen Chemikalien - Neue Terrorwarnung!	37	http://www.krone.at/oesterreich/jetzt-drohen-attacken-mit-toedlichen-chemikalien-neue-terrorwarnung-story-550397
derstandard.at	Prishtina: Anschlag auf Wasserversorgung vereitelt - Kosovo	37	http://derstandard.at/2000019004817/Polizei-Anschlag-auf-Wasserversorgung-von-Pristina-verhindert
krone.at	Trinkwasserquellen in und um Damaskus vergiftet - Stadt ohne Wasser	37	http://www.krone.at/welt/trinkwasserquellen-in-und-um-damaskus-vergiftet-stadt-ohne-wasser-story-545882
DIE WELT	Friedhöfe in Hamburg: Immer mehr muslimische Bestattungen	30	https://www.welt.de/regionales/hamburg/article161419157/Der-Boden-darf-nicht-durch-Unglaeubige-verunreinigt-sein.html
