media	title	num_likes	uri	entities
Alternative für Deutschland	NO_TITLE	11543	https://www.alternativefuer.de/wp-content/uploads/sites/7/2016/05/2016-06-27_afd-grundsatzprogramm_web-version.pdf	
DIE WELT	Erika Steinbach verlässt die CDU und attackiert Merkel	10334	https://www.welt.de/politik/deutschland/article161173232/Erika-Steinbach-verlaesst-die-CDU-und-wirft-Merkel-Rechtsbruch-vor.html	steinbach;cdu;merkel;erika;afd
FOCUS Online	Wenn am Sonntag Bundestagswahl wäre - wen würden Sie wählen?	9581	http://www.focus.de/politik/deutschland/focus-online-umfrage-wenn-am-sonntag-bundestagswahl-waere-wen-wuerden-sie-waehlen_id_6467621.html	afd;spd;glüsing;csu;bzw
FAZ	Rüge für Sigmar Gabriel	5669	http://www.faz.net/aktuell/wirtschaft/energiepolitik/ruege-fuer-sigmar-gabriel-14621838.html	gabriel;sigmar;mihm;e-mail;andreas
oe24.at	Anschlag angekündigt: Asylwerber wird nicht abgeschoben	4454	http://www.oe24.at/welt/Anschlag-angekuendigt-Asylwerber-wird-nicht-abgeschoben/251517225	hannover;niedersachsen;feredaws;deutschland;kabul
FOCUS Online	Anschlag in Berlin: Maas will Gefährdern elektronische Fußfesseln verpassen	4454	http://www.focus.de/politik/deutschland/anschlag-in-berlin-maas-will-allen-gefaehrdern-elektronische-fussfesseln-verpassen_id_6464684.html	maas;berlin;spd;focus;maizière
merkur.de	Merkel will abgelehnte Asylbewerber konsequent abschieben	4027	https://www.merkur.de/politik/merkel-will-abgelehnte-asylbewerber-konsequent-abschieben-zr-6842595.html	merkel;deutschland;paderborn;csu;bayern
STERN.de	Merkel fordert schnellere Abschiebung abgelehnter Asylbewerber	4027	http://www.stern.de/politik/deutschland/fluechtlingskrise--merkel-fordert-schnellere-abschiebung-abgelehnter-asylbewerber-6503556.html
FOCUS Online	Unwort des Jahres 2016: Jury kürt "Volksverräter"	4027	http://www.focus.de/wissen/mensch/jury-gibt-bekannt-volksverraeter-ist-das-unwort-des-jahres-2016_id_6472711.html	darmstadt;stadelmann;star-comedian;jansen/illustration;wiesbaden
ZEIT ONLINE	Angela Merkel: "Wer abgelehnt wird, muss unser Land verlassen"	4027	http://www.zeit.de/politik/deutschland/2017-01/sylpolitik-angela-merkel-fluechtlinge-abschiebung-integration-dbb-jahrestagung	merkel;reuters;algerien;maizière;angela
ZEIT ONLINE	Open Doors: Verfolgung von Christen nimmt weltweit zu	3492	http://www.zeit.de/gesellschaft/zeitgeschehen/2017-01/open-doors-weltverfolgungsindex-christen-verfolgung-zunahme	doors;somalia;nordkorea;lahore;afghanistan
kirche-und-leben.de	Woelki: Kirche muss sich von Rechtspopulismus abgrenzen	3492	https://www.kirche-und-leben.de/artikel/woelki-kirche-muss-sich-von-rechtspopulismus-abgrenzen/
FOCUS Online	De Maizière: Grenzkontrollen aufrechterhalten, solange es nötig ist	3081	http://www.focus.de/politik/deutschland/schwerpunkt-illegaler-migration-de-maiziere-will-grenzkontrollen-aufrechterhalten-solange-es-noetig-ist_id_6465679.html	gröhe;herbert;michael;fuchs;schengen
merkur.de	Verteidigungsministerin Ursula von der Leyen organisiert Sex-Seminar bei der Bundeswehr	2382	https://www.merkur.de/politik/verteidigungsministerin-ursula-von-leyen-organisiert-sex-seminar-bei-bundeswehr-zr-7212068.html	ursula;stephanie;berli;munk;afghanistan
silberjunge.de	Merkels Rechtsbruch? Wir decken auf!	1436	http://www.silberjunge.de/merkel/
ZEIT ONLINE	Islamismus: Islamisten stellen größte Gruppe unter Gefährdern	1368	http://www.zeit.de/gesellschaft/zeitgeschehen/2017-01/islamismus-gefaehrder-terroristen-extremismus-deutschland
