media	title	num_likes	uri	entities
Facebook	Lutz Bachmann	643	https://www.facebook.com/pegidalutz/	bamf;afrika;mit
gatestoneinstitute.org	Eine politische Revolution beginnt sich in Europa zusammenzubrauen	528	https://de.gatestoneinstitute.org/9622/europa-politische-revolution	europa;merkel;deutschland;europas;niederlanden
FOCUS Online	Mutmaßlicher Lkw-Fahrer soll 2016 als Flüchtling nach Deutschland gekommen sein	458	http://m.focus.de/politik/deutschland/medienbericht-mutmasslicher-lkw-fahrer-soll-2016-als-fluechtling-nach-deutschland-gekommen-sein_id_6380185.html?utm_source=facebook&utm_medium=social&utm_campaign=facebook-focus-online-finanzen&fbc=facebook-focus-online-finanzen&ts=201612200045	merkel;hermann;voigt
FOCUS Online	CDU-Innenexperte : Bosbach: "Glaube nicht, dass Flüchtlinge Pässe verlieren"	411	http://m.focus.de/politik/deutschland/cdu-innenexperte-bosbach-ich-glaube-nicht-dass-alle-fluechtlinge-ihre-paesse-verlieren_id_6386492.html	ihr;bosbach;elly;ddr;dann
Politically Incorrect	Pegida warnt seit Jahren und wird bekämpft	392	http://www.pi-news.net/2016/12/pegida-warnt-seit-jahren-und-wird-bekaempft/
thueringer-allgemeine.de	Nach Elternprotesten: Flüchtlings-Praktikantinnen dürfen nicht im Kindergarten „Sputnik“ arbeiten	380	http://www.thueringer-allgemeine.de/startseite/detail/-/specific/Nach-Elternprotesten-Fluechtlings-Praktikantinnen-duerfen-nicht-im-Kindergarten-2028530128
sebastian-wippel.de	Allein in Sachsen gefährden 584 hochkriminelle Ausländer den Frieden und müssen sofort inhaftiert werden!	378	http://www.sebastian-wippel.de/index.php/allein-in-sachsen-gefaehrden-584-hochkriminelle-auslaender-den-frieden-und-muessen-sofort-inhaftiert-werden/	sachsen;ulbig;berlin;z.b.;anis
tv2.dk	Grådkvalte forældre på gerningsstedet: - Tak, fru Merkel, vores søn er i koma 2	309	http://nyheder.tv2.dk/udland/2016-12-22-graadkvalte-foraeldre-paa-gerningsstedet-tak-fru-merkel-vores-soen-er-i-koma	berlin;hun;dreesen;uffe;del
Politically Incorrect	Weihnachten im befreiten Aleppo	279	http://www.pi-news.net/2016/12/weihnachten-im-befreiten-aleppo/#more-547112
FOCUS Online	Nach Anschlag in Berlin: Dresden sichert Weihnachtsmarkt mit Beton-Blöcken	266	http://m.focus.de/politik/deutschland/aenderungen-der-sicherheitsvorkehrungen-nach-anschlag-in-berlin-dresden-sichert-weihnachtsmarkt-mit-beton-bloecken_id_6380772.html	merkel;deutschland;angelika;schmidt;helmut
FOCUS Online	Ermittler stellen Handy von Anis Amri sicher	243	http://m.focus.de/politik/deutschland/bei-untersuchung-des-lkw-gefunden-ermittler-stellen-handy-von-anis-amri-sicher_id_6399317.html	amri;frantz;rauch;nizza;sabine
thueringer-allgemeine.de	Leitartikel: Die Kontrolle verloren	233	http://www.thueringer-allgemeine.de/startseite/detail/-/specific/Leitartikel-Die-Kontrolle-verloren-578336245
ZEIT ONLINE	Sachsen: Pegida macht jetzt auf sozial	191	http://www.zeit.de/gesellschaft/zeitgeschehen/2016-12/sachsen-pegida-sozialarbeit-deutsche-obdachlose-fremdenfeindlichkeit-fluechtlinge?utm_content=zeitde_redpost_zon_link_sf&utm_campaign=ref&utm_source=facebook_zonaudev_int&utm_term=facebook_zonaudev_int&utm_medium=sm&wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost_zon.link.sf	dresden;knajder;zander;riedel;uwe
FOCUS Online	Düren: Syrer und Libanesen prügeln mit Knüppeln und Stange aufeinander ein 	184	http://www.focus.de/panorama/welt/dueren-syrer-und-libanesen-pruegeln-mit-stangen-und-knueppeln-aufeinander-ein_id_6401308.html?fbc=fb-shares	carmen;kaupenjohann;tja;rölke;stefan
sachsen.de	 REVOSax Landesrecht Sachsen - Sächsisches Versammlungsgesetz 	182	https://www.revosax.sachsen.de/vorschrift/12206-Saechsisches-Versammlungsgesetz	sachsen
Politically Incorrect	Frank Wahlig (SWR): Der Typ ist ein Drecksack!	178	http://www.pi-news.net/2016/12/frank-wahlig-swr-der-typ-ist-ein-drecksack/#more-547703
Epoch Times	So hart kommentieren Leser Berliner LKW-Anschlag: "Bundesregierung politisch erledigt"	166	http://www.epochtimes.de/politik/deutschland/so-hart-kommentieren-leser-berliner-lkw-anschlag-bundesregierung-politisch-erledigt-a2004397.html	deutschland;merkel;berlin;ute;michael
RT	Ägypten: Polizei erwischt Fotografen bei Produktion von Fake-Bildern "verletzter Kinder aus Aleppo"	160	https://deutsch.rt.com/der-nahe-osten/44524-aegyptische-polizei-fotograf-fake-fotos-aleppo-propaganda-syrien-maedchen/	aleppo;said
Epoch Times	Nach Anschlag in Berlin: Vorsitzender der Innenministerkonferenz spricht von "Kriegszustand"	156	http://www.epochtimes.de/politik/deutschland/nach-anschlag-in-berlin-vorsitzender-der-innenministerkonferenz-spricht-von-kriegszustand-a2004701.html	bouillon;berlin;deutschland;sean;epoch
thesun.co.uk	Massive manhunt for armed truck terrorist amid fears of MORE attacks as ISIS claims responsibility and bungling cops release man wrongly arrested over massacre	155	https://www.thesun.co.uk/news/2437904/lorry-crashes-christmas-market-berlin/	follow;sun;the
Epoch Times	Italiens Innenminister betätigt: Mutmaßlicher Berlin-Attentäter Anis Amri in Mailand erschossen	149	http://www.epochtimes.de/politik/welt/medien-mutmasslicher-berlin-attentaeter-amri-in-mailand-erschossen-2-a2007354.html	amri;mailand;anis;minniti;italien
Epoch Times	"Anschlag auf die Menschheit": Trump verurteilt nochmals Berliner Terrorangriff	148	http://www.epochtimes.de/politik/welt/anschlag-auf-die-menschheit-trump-verurteilt-nochmals-berliner-terrorangriff-a2006520.html	trump;donald;palm;beach;resort
Blaue Narzisse	Für einen Zorn der Entschlossenheit!	139	http://www.blauenarzisse.de/fuer-einen-zorn-der-entschlossenheit/	europa;schweden;menzel;deutschland;dland
Epoch Times	Berliner Terror-Fahrer ist tot: Anis Amri in Mailand erschossen - Personenkontrolle eskalierte	138	http://www.epochtimes.de/politik/deutschland/berliner-lkw-anschlag-polizei-sucht-taeter-mit-dna-zweite-festnahme-wieder-der-falsche-a2004170.html	
Politically Incorrect	Merkel stolz und zuversichtlich	137	http://www.pi-news.net/2016/12/merkel-stolz-und-zuversichtlich/
abendblatt.de	Mutmaßlicher Terrorhelfer im Landkreis Harburg gefasst	126	http://m.abendblatt.de/hamburg/harburg/article209057409/Mutmasslicher-Terrorhelfer-im-Landkreis-Harburg-gefasst.html?utm_source=dlvr.it&utm_medium=twitter
philosophia-perennis.com	WIDERWÄRTIG! Die Tagesschau verspottet Opfer des Terrors philosophia perennis	122	https://philosophia-perennis.com/2016/12/25/tagesschau-verspottet-opfer-neu/	junker;ddr;merkel;jesus;gutmensch
gmx.net	Weihnachtsansprache: Joachim Gauck warnt nach Anschlag vor Schüren von Feindbildern	122	https://www.gmx.net/magazine/politik/weihnachtsansprache-joachim-gauck-warnt-anschlag-schueren-feindbildern-32084946	gauck;berlin;joachim;dpa;bellevue
metropolico.org	Gipfel der Unverfrorenheit	101	http://www.metropolico.org/2016/12/25/gipfel-der-unverfrorenheit/	thomas;maizière;henning;maiziere;bmi
DIE WELT	Anschlag in Berlin: Bundeskriminalamt nennt Herkunft der Todesopfer	101	https://www.welt.de/politik/live160535230/Merkel-fordert-deutlich-beschleunigte-Abschiebungen-nach-Tunesien.html	amri;berlin;anis;dpa;tunesien
FOCUS Online	Neun Männer in Haft: SEK entdeckt Waffenlager in Düsseldorfer Maghrebviertel	94	http://www.focus.de/panorama/videos/verstoss-gegen-das-kriegswaffengesetz-neun-maenner-in-haft-sek-entdeckt-waffenlager-in-duesseldorfer-maghrebviertel_id_6398722.html?utm_source=facebook&utm_medium=social&utm_campaign=facebook-focus-online-politik&fbc=facebook-focus-online-politik&ts=201612231424	thomas;schruck;butz;michler;göring-eckart
Facebook	Advent, Advent ein Lichtlein brennt...	93	https://www.facebook.com/events/378823575793013/
FOCUS Online	LKA wusste seit Monaten von Amris Anschlagsplänen	91	http://www.focus.de/politik/deutschland/gesuchter-terror-verdaechtiger-lka-wusste-seit-monaten-von-amris-anschlagsplaenen_id_6392775.html	frank;hoffmann;wagner;nirgendwo;sebastian
Junge Freiheit	Anis Amri und die grünen Moralapostel	83	https://jungefreiheit.de/debatte/kommentar/2016/anis-amri-und-die-gruenen-moralapostel/	amri;deutschland;tunesien;göring-eckardt;paulwitz
Sputnik	Völlig unbemerkt: Mann mit IS-Flagge passiert dänisch-deutsche Grenze	81	https://de.sputniknews.com/panorama/20161225313911736-mann-mit-is-flagge-passiert-grenze-zu-deutschland/	selbstkontrolle;westeuropas
FOCUS Online	Mehr Ausländer in Sachsens Gefängnissen - Herausforderung für Bedienstete	81	http://www.focus.de/regional/sachsen/herausforderung-fuer-bedienstete-mehr-auslaender-in-sachsens-gefaengnissen-konfliktpotenzial_id_6403781.html	focus;polen;famous;rumänien;sachsen
lr-online.de	De Maizière will Grenzkontrollen verlängern	81	http://www.lr-online.de/nachrichten/politik/De-Maizi%25E8re-will-Grenzkontrollen-verlaengern;art743,5758336
DIE WELT	Identitätsklärung: Herrmann zu Flüchtlingen „Von vielen gehen Risiken aus“	76	https://www.welt.de/politik/deutschland/article160510989/Herrmann-zu-Fluechtlingen-Von-vielen-gehen-Risiken-aus.html?utm_content=buffere3454&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer	bayerns;herrmann;joachim;autoplay;berlin
denken-erwuenscht.com	Kleine Geschichten aus dem bunten Deutschland	75	http://denken-erwuenscht.com/kleine-geschichten-aus-dem-bunten-deutschland/	deutschland;almut;rosebrock
Epoch Times	Schock im Kindergarten: Islam-Prediger stürmt Weihnachtsaufführung - Zwei Väter zerren Afrikaner aus dem Saal	62	http://www.epochtimes.de/politik/europa/schock-im-kindergarten-islam-prediger-stuermt-weihnachtsauffuehrung-zwei-vaeter-zerren-afrikaner-aus-dem-saal-a2003991.html	tschaikowskys;allah;oberösterreich;domain;nussknacker
derwesten.de	Dortmund: Junger Mann (19) rempelt versehentlich Unbekannten an - der sticht ihn nieder	58	http://www.derwesten.de/staedte/dortmund/junger-mann-19-rempelt-versehentlich-unbekannten-an-der-sticht-ihn-nieder-id209084465.html
presseportal.de	POL-MR: Frau angegriffen - Polizei sucht dringend nach Zeugen; | Pressemitteilung Polizei Marburg-Biedenkopf	50	http://www.presseportal.de/blaulicht/pm/43648/3516554	kirchhain;marburg-biedenkopf;stadtallendorf;jürgen;schlick
