media	title	num_likes	uri	entities
krone.at	"Muslime gewalttätiger als alle anderen Gruppen" - Sarrazin warnt	393	http://www.krone.at/welt/muslime-gewalttaetiger-als-alle-anderen-gruppen-sarrazin-warnt-story-543901	sarrazin;deutschland;köln;apa/sebastian;angela
merkur.de	Gasthof zum Rassen Garmisch-Partenkirchen: Absage an das AfD-Lokal	177	http://www.merkur.de/lokales/garmisch-partenkirchen/garmisch-partenkirchen/gasthof-zum-rassen-garmisch-partenkirchen-absage-an-afd-lokal-7093464.html	ecker;garmisch-partenkirchen;würl;petry;afd
Politically Incorrect	Umfrage: AfD-Strategie zur Bundestagswahl	170	http://www.pi-news.net/2016/12/umfrage-afd-strategie-zur-bundestagswahl/#more-546302
Facebook	Das haben die "moderaten" Islamisten mit Hilfe der USA, Türkei, Saudi-Arabien, Qatar und der EU aus Aleppo gemacht	163	https://m.facebook.com/story.php?story_fbid=683389358498810&id=100004832569316
FOCUS Online	Gabriel fordert Kürzung des Kindergelds für EU-Ausländer	157	http://www.focus.de/finanzen/steuern/auf-niveau-des-heimatlandes-gabriel-fordert-kuerzung-des-kindergelds-fuer-eu-auslaender_id_6369130.html	gabriel;europa;deutschland;sigmar;pk/afp
DIE WELT	Flüchtlinge: Schweden steht vor dem Asyl-Bankrott	121	https://www.welt.de/politik/ausland/article149798112/Das-Musterland-Schweden-steht-vor-Asyl-Bankrott.html	schweden;godner;yakoub;afram;schwedens
Politically Incorrect	Nehmt sie doch bei euch selbst auf! Ein Plädoyer für Flüchtlingspatenschaften	120	http://www.pi-news.net/2016/12/nehmt-sie-doch-bei-euch-selbst-auf-ein-plaedoyer-fuer-fluechtlingspatenschaften/
sebastian-wippel.de	Eine Handvoll Geldstrafen für 69 zum Teil schwerverletzte Polizisten	111	http://www.sebastian-wippel.de/index.php/eine-handvoll-geldstrafen-fuer-69-zum-teil-schwerverletzte-polizisten/	burkhard;afd;leipzigs;heidenau;wippel
pegida.de	PEGIDA Förderverein e.V.	90	http://shop.pegida.de/	sind;stark;gemeinsam;wir
Facebook	Civil March For Aleppo	85	https://www.facebook.com/CivilMarchForAleppo/
Berliner Zeitung	Civil March for Aleppo Zu Fuß von Berlin nach Syrien	85	http://www.berliner-zeitung.de/berlin/civil-march-for-aleppo-zu-fuss-von-berlin-nach-syrien--25293390
presseportal.de	POL-MFR: (2229) Zeugensuche nach körperlicher Auseinandersetzung | Pressemitteilung Polizeipräsidium Mittelfranken	84	http://www.presseportal.de/blaulicht/pm/6013/3508535	mittelfranken;pol-mfr;nürnberg;christian;daßler
Epoch Times	Deutsche Krankenkassen zahlen für türkische Angehörige in der Türkei mit	80	http://www.epochtimes.de/gesundheit/deutsche-krankenkassen-zahlen-fuer-tuerkische-angehoerige-in-der-tuerkei-mit-a1282201.html	türkei;deutschland;ddr;brd;portugal
Politically Incorrect	Kahane kriegte von Stasi Kaffee, Schnaps, Zigaretten, Kuchen und einen goldenen Füller	76	http://www.pi-news.net/2016/12/kahane-kriegte-von-stasi-kaffee-schnaps-zigaretten-kuchen-und-einen-goldenen-fueller/
vk.com	The-Epoch Times	76	https://vk.com/epochtimesdeutsch	michael;andreas;kuhr;dec;berlin
Epoch Times	Assad-Truppen kurz vor der vollständigen Einnahme Aleppos - Warnende Worte aus dem Westen	76	http://www.epochtimes.de/politik/welt/assad-truppen-kurz-vor-der-vollstaendigen-einnahme-aleppos-warnende-worte-aus-dem-westen-a1999169.html	aleppo;russland;merkel;türkei;aleppos
svz.de	Flüchtlingsheim Eisenhüttenstadt: Polizeieinsatz und Schwerverletzte	73	http://www.svz.de/regionales/brandenburg/polizeieinsatz-und-schwerverletzte-id15572386.html	zabh;heese;frank;adac;saarow
Junge Freiheit	Mordfall Maria L.: Polizei prüft weiteres Verbrechen von Hussein K.	73	https://jungefreiheit.de/kultur/gesellschaft/2016/mordfall-maria-l-polizei-prueft-weiteres-verbrechen-von-hussein-k/	maria;hussein;freiburg;dreisam;griechenland
n-tv.de	Beck wirft Ditib Spionage vor: Türkei setzt deutsche Moscheen unter Druck	72	http://www.n-tv.de/politik/Tuerkei-setzt-deutsche-Moscheen-unter-Druck-article19353201.html	ditib;türkei;beck;reuters;berlins
Politically Incorrect	Die „postfaktische Welt“ des Ralf Stegner	71	http://www.pi-news.net/2016/12/die-postfaktische-welt-des-ralf-stegner/
Politically Incorrect	U-Bahn-Bandenmitglied wieder auf freiem Fuß	66	http://www.pi-news.net/2016/12/u-bahn-bandenmitglied-wieder-auf-freiem-fuss/
DIE WELT	Müller: Berlin muss weiter Flüchtlinge aufnehmen	65	https://www.welt.de/regionales/berlin/article160287581/Berlin-muss-weiter-Fluechtlinge-aufnehmen.html	müller;berlin
t-online.de	Bad Säckingen: Flüchtlinge liefern sich Massenschlägerei in Heim	60	http://www.t-online.de/nachrichten/panorama/kriminalitaet/id_79798758/bad-saeckingen-fluechtlinge-liefern-sich-massenschlaegerei-in-heim.html	schweiz;bad;säckingen
Die Achse des Guten	Der schmutzige Erfolg der Denunzianten	59	http://www.achgut.com/artikel/der_schmutzige_erfolg_der_denunzianten	hensel;scholz;friends;gerald;luther
krone.at	31-köpfige Familie kämpft um Asyl in Deutschland - Kinder vorgeschickt	59	http://www.krone.at/welt/31-koepfige-familie-kaempft-um-asyl-in-deutschland-kinder-vorgeschickt-story-544127	deutschland;abu;kaschif;syrien;hussein
Junge Freiheit	Bremer Asylbehörde erteilt Aufenthaltserlaubnis statt Abschiebung	57	https://jungefreiheit.de/politik/deutschland/2016/bremer-asylbehoerde-erteilt-aufenthaltserlaubnis-statt-abschiebung/	bremen;timke;afghanistan;aes;deutschland
FOCUS Online	Sexuelle Übergriffe auf zwei Frauen nahe und in Freiburg	56	http://www.focus.de/panorama/welt/polizei-ermittelt-sexuelle-uebergriffe-auf-zwei-frauen-nahe-und-in-freiburg_id_6329795.html	euro;freiburg;titisee-neustadt;focus;tel
Compact Magazin	Lamya Kaddor: „Gesellschaft muss Arabern Zeit zum Verändern geben“	52	https://www.compact-online.de/lamya-kaddor-gesellschaft-muss-arabern-mehr-zeit-zum-veraendern-einraeumen/	kaddor;deutschland;nrw;merkel;syrien
abendblatt.de	Empörung über Lehrer-Warnung vor Sex mit Flüchtlingen - Aus aller Welt	45	http://www.abendblatt.de/vermischtes/article206534531/Empoerung-ueber-Lehrer-Warnung-vor-Sex-mit-Fluechtlingen.html
bazonline.ch	Millionen Afrikaner sitzen auf ihren Koffern	43	http://mobile2.bazonline.ch/articles/584dcda8ab5c377d98000001
