media	title	num_likes	uri	entities
waz.de	Wegen Sicherheitsbedenken - Walsumer Silvesterball abgesagt	88	https://www.waz.de/staedte/duisburg/wegen-sicherheitsbedenken-walsumer-silvesterball-abgesagt-id209094001.html	henne;michael;aldenrade-fahrn;walsum;dahlke
presseportal.de	BPOL-H: Abschlussmeldung zum Silvestereinsatz der Bundespolizeiinspektion Hannover | Pressemitteilung Bundespolizeiinspektion Hannover	85	http://www.presseportal.de/blaulicht/pm/70388/3524333	
Politically Incorrect	NRW-Problem: Korane in Wüste beerdigen?	80	http://www.pi-news.net/2016/12/nrw-problem-korane-in-wueste-beerdigen/
FOCUS Online	Überfall in Hanau: Unbekannter schlägt und tritt Ehepaar	80	http://m.focus.de/regional/frankfurt-am-main/ueberfall-in-hanau-unbekannter-schlaegt-und-tritt-ehepaar_id_6412413.html?utm_source=facebook&utm_medium=social&utm_campaign=facebook-focus-online-digital&fbc=facebook-focus-online-digital&ts=201612271904	nordsee;hanau;schloss;symbolfoto;seeger
Die Achse des Guten	„Schaut mal, was mein Flüchtling alles kann!“	79	http://www.achgut.com/artikel/schaut_mal_was_mein_fluechtling_alles_kann	deutschland;syrien;saudi-arabien;jemen;libanon
DIE WELT	„Extrem gewalttätig“: 1100 Afrikaner wollen EU-Grenzzäune stürmen	79	https://www.welt.de/politik/ausland/article160764082/1100-Afrikaner-wollen-EU-Grenzzaeune-stuermen.html	ceuta;marokko;spanien;afrika;whatsapp
presse-augsburg.de	Augsburger Nachtbus | Syrische Staatsangehörige geraten mit Fahrgästen in Streit und verletzen Kind	78	http://presse-augsburg.de/presse/augsburger-nachtbus-syrische-staatsangehoerige-geraten-mit-fahrgaesten-in-streit-und-verletzen-kind/	augsburg;strg
Epoch Times	"Bild": In Kölner Silvesternacht waren Flüchtlinge unter Wachleuten	75	http://www.epochtimes.de/politik/deutschland/bild-in-koelner-silvesternacht-waren-fluechtlinge-unter-wachleuten-a2010954.html	köln;euro;epoch;deutschland;nordafrika
FOCUS Online	Kölner Silvesternacht 2015: Sicherheitsfirma ließ Flüchtlinge Brücken bewachen	75	http://m.focus.de/politik/deutschland/fuer-fuenf-euro-stundenlohn-koelner-silvesternacht-2015-sicherheitsfirma-liess-fluechtlinge-bruecken-bewachen_id_6419328.html	euro;köln;stundenlohn;ratingen;focus
WDR	Beschlagnahmte Korane in der Wüste vergraben?	73	http://www1.wdr.de/nachrichten/rheinland/entsorgung-beschlagnahmte-korane-100.html	wdr
