media	title	num_likes	uri	entities
Alternative für Deutschland	NO_TITLE	7295	https://www.alternativefuer.de/wp-content/uploads/sites/7/2016/05/2016-06-27_afd-grundsatzprogramm_web-version.pdf	
DIE WELT	Angela Merkel gegen Vollverschleierung: „Bei uns heißt es: Gesicht zeigen“	4554	https://www.welt.de/politik/deutschland/article160016612/Auch-Deutsche-haben-einen-Integrationskurs-dringend-noetig.html	merkel;cdu;europa;deutschland;csu
heute.at	 Tests in Dänemark: 75 Prozent der "minderjährigen" Flüchtlinge sind erwachsen	3482	http://www.heute.at/news/welt/75-Prozent-der-minderjaehrigen-Fluechtlinge-sind-erwachsen;art23661,1378109	teresa;großbritannien;dänemark;kopenhagen;mcnair
DIE WELT	Tote Studentin in Freiburg: „Rainer Wendt verhöhnt das Opfer“	3298	https://www.welt.de/politik/deutschland/article159980003/Wendt-verhoehnt-das-Opfer.html	wendt;freiburg;malchow;mayer;seibert
Facebook	Wir alle sind erschüttert über den abscheulichen Mord in Freiburg.	3298	https://www.facebook.com/sigmar.gabriel/posts/1382839205082131
FOCUS Online	Parteien: Grüne sehen sich als Hauptgegner der AfD	2666	http://www.focus.de/regional/rheinland-pfalz/parteien-gruene-waehlen-landesvorstand-und-bundestagskandidaten_id_6321974.html	fritz;links;kasulke;afd;spd
DIE WELT	Sawsan Chebli: Die Berliner Staatssekretärin und die Scharia	2373	https://www.welt.de/politik/deutschland/article160171830/Das-Bild-von-der-erfolgreichen-Migrantin-hat-Risse.html	chebli;spd;müller;michael;sawsan
sat1.de	Frühstücksfernsehen - Video - Die Zustände bei der Polizei sind katastrophal!	1661	http://www.sat1.de/tv/fruehstuecksfernsehen/video/1-die-zustaende-bei-der-polizei-sind-katastrophal-clip	nick;hein
google.de	afd - Google-Suche	1445	https://www.google.de/search?q=afd	afd
Spiegel Online	Angela Merkel lehnt CDU-Parteitagsbeschluss zum Doppelpass ab	1298	http://www.spiegel.de/politik/deutschland/angela-merkel-lehnt-beschluss-des-cdu-parteitags-zum-doppelpass-ab-a-1124856.html	merkel;deutschland;gabriel;spd;cdu
DIE WELT	Türkische Imame spionieren in Deutschland für Erdogan	918	https://www.welt.de/politik/ausland/article160132361/Tuerkische-Imame-spionieren-in-Deutschland-fuer-Erdogan.html	deutschland;düsseldorf;ankara;christiansen;sabine
Facebook	+++ Wir sagen 6.000 mal Danke,Danke,Danke +++	40	https://www.facebook.com/AfDBgL/photos/a.1400119830265741.1073741829.1396976483913409/1831479983796388/?type=3&theater
aidabund.de	Neues Design zum Jahreswechsel	23	http://aidabund.de/2016/12/08/neues-design-zum-jahreswechsel/	aida;afd;waldheim;christian;rss
Facebook	Renzi ist so eben zurückgetreten! Österreich-Schock gerade etwas verdaut!	18	https://www.facebook.com/maximilian.weber.3785/posts/552447648278229
the-germanz.de	EXKLUSIV: Alea iacta est - Hedwig von Beverfoerde tritt aus der CDU aus	15	http://the-germanz.de/exklusiv-alea-iacta-est-hedwig-von-beverfoerde-tritt-aus-der-cdu-aus/	merkel;angela;cdu;deutschland;hedwig
bayern-depesche.de	Wirtschaftspublizist Peter Boehringer will für die AfD in den Deutschen Bundestag	11	http://www.bayern-depesche.de/regional/wirtschaftspublizist-peter-boehringer-will-f%C3%BCr-die-afd-in-den-deutschen-bundestag.html	frohmeier;amberg-neumarkt;afd;boehringer;axel
Berliner Zeitung	Abschaffung der Rundfunkgebühren: AfD beantragt Kündigung des Staatsvertrags	10	http://www.berliner-zeitung.de/politik/abschaffung-der-rundfunkgebuehren-afd-beantragt-kuendigung-des-staatsvertrags-25225070?dmcid=sm_fb
freiewelt.net	Trump will Zusammenarbeit mit Russland gegen islamistischen Terror und ein Ende des Flüchtlingsstroms	8	http://www.freiewelt.net/nachricht/trump-will-zusammenarbeit-mit-russland-gegen-islamistischen-terror-und-ein-ende-des-fluechtlingsstroms-10069449/	russland;trump;usa;putin;migrations
Facebook	CDU-Vize Armin Laschet lehnt deutschlandweite Volksentscheide deutlich ab	7	https://www.facebook.com/BR24/photos/a.208051235335.171746.208046455335/10154599312550336/?type=3&hc_ref=PAGES_TIMELINE
Facebook	Marine Le Pen im ZDF-Interview: "... dann bin ich populistisch"	6	https://www.facebook.com/ZDFheute/videos/10154832924120680/
Süddeutsche.de	CDU: Doppelte Staatsbürgerschaft oder Optionspflicht?	5	http://www.sueddeutsche.de/politik/doppelte-staatsbuergerschaft-sich-zwischen-zwei-laendern-entscheiden-muessen-1.3284471	cdu;spd;deutschland;schweiz;maas
Facebook	Peter Rollar	5	https://www.facebook.com/peter.rollar?fref=nf
gmx.net	Sechs Hinweise auf Berliner U-Bahn-Treter	5	https://www.gmx.net/magazine/panorama/hinweise-berliner-u-bahn-treter-32053372	dpa;bildfunk;berlin/dpa;achtung;spiegel
Facebook	++ Bargeld ist Freiheit, die es unbedingt zu verteidigen gilt! ++	5	https://www.facebook.com/Dr.Frauke.Petry/photos/a.782724038446912.1073741828.782456275140355/1298906490161995/?type=3&theater
Epoch Times	Slowakei beschließt: Islam kann nicht als Religionsgemeinschaft anerkannt werden	5	http://www.epochtimes.de/politik/europa/gesetz-in-slowakei-islam-kann-nicht-als-religionsgemeinschaft-anerkannt-werden-a1992679.html	slowakei;danko;express;andrej;danko.foto
tag24.de	AfD-Frau gibt Merkel Mitschuld an Tod der Freiburg-Studentin	5	https://www.tag24.de/nachrichten/afd-frau-sieht-mitschuld-von-merkel-fuer-mord-in-freiburg-tote-studentin-maria-189555	merkel;alice;weidel;angela;paul
huffingtonpost.de	Reaktionen auf Mord an Maria L. in Freiburg: "Die Vertreter der Willkommenskultur schweigen"	4	http://www.huffingtonpost.de/2016/12/04/mord-studentin-freiburg_n_13421394.html?utm_hp_ref=germany&ir=Germany	freiburg;wendt;rainer;gabriel;merkels
Facebook	Kanzlerin Merkel, läßt sich gestern von ihren Klaqueren 11 Minuten lang beklatschen und feiern! 	4	https://m.facebook.com/story.php?story_fbid=1141447745950646&substory_index=0&id=581019311993495
Facebook	MERKEL MITVERANTWORTLICH AM TOD DER STUDENTIN	4	https://www.facebook.com/MERKEL.schafft.uns.ab/videos/1842846972600490/
vera-lengsfeld.de	Die Stasi ist unter uns	4	http://vera-lengsfeld.de/2016/12/09/die-stasi-ist-unter-uns/	ddr;stasi;merkel;schwesig;deutschland
Unzensuriert.at	Kölner Gutmenschen gehen die Augen auf: Kaum noch freiwillige Helfer für Asylindustrie	4	https://www.unzensuriert.at/content/0022525-Koelner-Gutmenschen-gehen-die-Augen-auf-Kaum-noch-freiwillige-Helfer-fuer	claus-ulrich;prölß;freiwillige;köln;iban
deutscherarbeitgeberverband.de	Wir graben uns feige das eigene Grab	4	http://www.deutscherarbeitgeberverband.de/aktuelles/2016/2016_12_05_dav_aktuelles_grab.html	deutschland;dav;klaus-dietrich;allensbach;moore
Epoch Times	Von 800 „minderjährigen“ Flüchtlingen 600 volljährig: Dänemarks Röntgentest enttarnt Altersbetrüger	4	http://www.epochtimes.de/politik/europa/von-800-minderjaehrigen-fluechtlingen-600-volljaehrig-daenemarks-roentgentest-enttarnt-altersbetrueger-a1995108.html	großbritannien;dänemark;støjberg;singer;dänemarkfoto
freitum.de	FREITUM: Der Fall Maria L.: Das Schweigen des öffentlich-rechtlichen Rundfunks	4	http://www.freitum.de/2016/12/der-fall-maria-ladenburger-das.html	maria;publicdomainpictures;pixabay;hoeneß;froelich
