media	title	num_likes	uri	entities
blick.ch	Flüchtlinge frieren weiter: Ungarn lehnt Grenzöffnung ab	990	http://www.blick.ch/news/ausland/fluechtlinge-frieren-weiter-ungarn-lehnt-grenzoeffnung-ab-id6049982.html	serbien;ungarn;szijjártó;schengen;deutschlands
Epoch Times	Wegen "Terrorgefahr": Ungarn erwägt generelle Inhaftierung von Asylbewerbern	577	http://www.epochtimes.de/politik/europa/wegen-terrorgefahr-ungarn-erwaegt-generelle-inhaftierung-von-asylbewerbern-a2022479.html	ungarn;lazar;orban;viktor;epoch
express.co.uk	Angela Merkel protests - Anger as German chancellor receives honorary award	250	http://www.express.co.uk/news/world/753386/Angela-Merkel-protest-must-go-honorary-doctorate-Germany-Brussels	merkel;the;berlin;angela;getty
Facebook	NO_TITLE	237	https://www.facebook.com/events/982205238582585/	
pegida.de	09.01.2017 PEGIDA live vom Altmarkt	232	http://livestream.pegida.de	youtube
Facebook	+++ 30 MINUTEN FÜR DEUTSCHLAND +++	196	https://www.facebook.com/events/231183137332504/
journalistenwatch.com	Tatort: zwangsfinanzierter Gesinnungsterror!	187	http://www.journalistenwatch.com/2017/01/09/tatort-zwangsfinanzierter-gesinnungsterror/	brix;rosi;aliou;vera;john
universumfilm.de	Universum Film GmbH	185	https://www.universumfilm.de/	perkins;christine;heydrich;pregau;jesse
Compact Magazin	Compact Abo	169	https://abo.compact-shop.de/
Facebook	NO_TITLE	165	https://www.facebook.com/events/321237954942766/	
Rheinische Post	Bundestagswahl 2017: Sigmar Gabriel (SPD) tritt gegen Merkel an	147	http://m.rp-online.de/politik/deutschland/sigmar-gabriel-tritt-laut-bild-gegen-angela-merkel-an-aid-1.6514557	gabriel;merkel;sigmar;martin;angela
Epoch Times	Eskalation an Leipziger Schule: Migranten und junge Deutsche prügeln sich bewaffnet	142	http://www.epochtimes.de/politik/deutschland/eskalation-an-leipziger-schule-migranten-und-junge-deutsche-pruegeln-sich-bewaffnet-a2024753.html	sean;images;schulz;umas;times15
FOCUS Online	In Wolfsburg: Grabscher bedrängt 13-Jährige – die stellt ihm eine Falle	139	http://www.focus.de/panorama/welt/wolfsburg-grabscher-bedraengt-13-jaehrige-schuelerin-doch-sie-stellt-ihm-eine-falle_id_6483487.html	z.b.;dann;luxemburg;kurt;asrael
stuttgarter-zeitung.de	Flüchtlinge lassen sich nicht helfen	135	http://www.stuttgarter-zeitung.de/inhalt.wernau-fluechtlinge-lassen-sich-nicht-helfen.8017ebd8-0815-4d3e-ad79-2b8e7292d0a0.html	wernau;morlok-gommel;hochdorf;thiel;esslingen
Facebook	NO_TITLE	134	https://www.facebook.com/events/321237954942766/?ti=cl
FOCUS Online	Spionage-Vorwurf gegen Ditib: Politiker erhöhen Druck	123	http://www.focus.de/politik/deutschland/spionage-vorwurf-gegen-ditib-nicht-glaubhaft-politiker-erhoehen-druck-auf-deutsch-tuerkischen-moscheeverband_id_6494453.html
Epoch Times	Zivilverfahren gegen Bachmann wegen Facebook-Eintrags endet mit Vergleich	121	http://www.epochtimes.de/politik/deutschland/zivilverfahren-gegen-bachmann-wegen-facebook-eintrags-endet-mit-vergleich-a2020510.html	bachmann;lutz;dresden;jens;times10
Rheinische Post	Soziale Medien: Koalition will schärfer gegen Hasskommentare vorgehen	121	http://m.rp-online.de/digitales/internet/koalition-will-schaerfer-gegen-hasskommentare-vorgehen-aid-1.6533291	maas;usw;kauder;deutschland;hitler
ZEIT ONLINE	Pegida: Lutz Bachmann unterliegt vor Gericht	117	http://www.zeit.de/gesellschaft/zeitgeschehen/2017-01/pegida-lutz-bachmann-gericht-urteil-fluechtlingshelfer	bachmann;dresden;lutz;zeit;steier
deutscherarbeitgeberverband.de	Staatsversagen. Schmerzhafte Erkenntnisse	112	https://deutscherarbeitgeberverband.de/aktuelles/2016/2016_12_19_dav_aktuelles_staatsversagen.html	deutschland;gebel;ludwig;titus;petry
Politically Incorrect	Demo in Tunesien gegen IS-Rückkehrer	103	http://www.pi-news.net/2017/01/demo-in-tunesien-gegen-is-rueckkehrer/
Facebook	2017 - Das Jahr der Entscheidung! Wir sehen uns auf der Straße!	97	https://www.facebook.com/what.stura.tud/videos/1008905322549460/?pnref=story
Unzensuriert.at	Juden verlassen zu Tausenden Frankreich – Die Gründe sind islamischer Antisemitismus und islamischer Terror	95	https://www.unzensuriert.at/content/0022861-Juden-verlassen-zu-Tausenden-Frankreich-Die-Gruende-sind-islamischer-Antisemitismus	frankreich;frankreichs;israel;paris;europa
Junge Freiheit	Bestseller-Autor Udo Ulfkotte gestorben	88	https://jungefreiheit.de/kultur/medien/2017/bestseller-autor-udo-ulfkotte-gestorben/	ulfkotte;udo;eichborn-verlag/doris;berlin
FOCUS Online	Özdemir fordert Visa-Erleichterung für Maghreb-Staaten	88	http://www.focus.de/politik/videos/man-muss-klug-vorgehen-oezdemir-fordert-visa-erleichterung-fuer-maghreb-staaten_id_6464771.html?fbc=fb-shares	deutschland;bergmann;müller;algeriens;nix
