media	title	num_likes	uri	entities
Epoch Times	Brief an den OB: Dresdner Unternehmer bietet kostenlose Entsorgung der "Schrottbusse" an	305	http://www.epochtimes.de/politik/deutschland/brief-an-den-ob-dresdner-unternehmer-bietet-kostenlose-entsorgung-der-schrottbusse-an-a2047212.html
Facebook	Pegida Nürnberg Jetzt zählt es!	223	https://www.facebook.com/events/213897009077436/?ti=cl
nur-positive-nachrichten.de	Der 22-jährige Boyan Slat will die Ozeane von Plastikmüll befreien	221	https://nur-positive-nachrichten.de/kurznachrichten/der-22-jaehrige-boyan-slat-will-die-ozeane-von-plastikmuell-befreien	
Epoch Times	Trumps Machtkampf um „PädoGate“ betrifft die Welt: US-Regierungsinsider packt aus	200	http://www.epochtimes.de/politik/welt/trumps-machtkampf-um-paedogate-betrifft-die-welt-us-regierungsinsider-packt-aus-a2051762.html	
DIE WELT	Bis zu 100 Schwarzafrikaner bedrohen Polizisten in Hamburg	171	https://www.welt.de/regionales/hamburg/article162105406/100-Schwarzafrikaner-bedrohen-Polizisten-in-Hamburg.html
FOCUS Online	Ex-CDU-Vize Koch: Etablierte Parteien haben Flüchtlingskrise falsch kommuniziert	169	http://www.focus.de/politik/videos/deutschland-ex-cdu-vize-koch-etablierte-parteien-haben-fluechtlingskrise-falsch-kommuniziert_id_6651895.html
DIE WELT	Özoguz plädiert für Wahlrecht auch für Migranten ohne deutschen Pass	152	https://www.welt.de/politik/deutschland/article162070856/Oezoguz-fordert-Wahlrecht-fuer-Migranten-ohne-deutschen-Pass.html
Epoch Times	Antifa und Migranten liefern sich Kämpfe mit der Polizei - Erstmals auch in Pariser Innenstadt	145	http://www.epochtimes.de/politik/europa/antifa-und-migranten-liefern-sich-kaempfe-mit-der-polizei-erstmals-auch-in-pariser-innenstadt-a2050297.html	
Sputnik	Merkel bei Tunesien abgeblitzt	143	https://de.sputniknews.com/zeitungen/20170215314546864-merkel-tunesien-migranten/	
krone.at	Berlin steckt 90 Millionen in freiwillige Rückkehr - Merkels Plan	122	http://www.krone.at/welt/berlin-steckt-90-millionen-in-freiwillige-rueckkehr-merkels-plan-story-553848
FOCUS Online	NSA-Ausschuss: Merkel nennt aus Versehen ihren Mädchennamen "Kasner"	120	http://www.focus.de/politik/videos/nsa-untersuchungsausschuss-ungewoehnlicher-fauxpas-als-sie-ihren-namen-nennt-sorgt-merkel-fuer-verwirrung_id_6658545.html
Epoch Times	Frankreich: Hälfte des Militärs auf den Straßen - Bürgerkriegsartige Unruhen in 20 Städten - Schusswaffengebrauch erleichtet	117	http://www.epochtimes.de/politik/europa/buergerkrieg-in-5-pariser-vororten-ausbreitung-befuerchtet-anwohner-sollen-zu-hause-bleiben-a2048399.html	
Rheinische Post	Dienstreisen: Südamerika-Reise von Kraft kostete 129.934 Euro	113	http://m.rp-online.de/nrw/landespolitik/suedamerika-reise-von-kraft-kostete-129934-euro-aid-1.6599713	
Facebook	Demonstration des AfD Kreisverbandes SOE ab 19 Uhr auf dem Marktplatz Pirna	98	https://www.facebook.com/events/615876741937244/?ti=cl
Compact Magazin	Skandal: Frauke Petry geht juristisch gegen COMPACT vor	96	https://www.compact-online.de/skandal-frauke-petry-geht-juristisch-gegen-compact-vor/
Epoch Times	Europol-Direktor warnt vor weiteren Anschlagsversuchen in Europa: Viele Hinweise auf Terrorverbindungen bei Migranten	95	http://www.epochtimes.de/politik/europa/europol-direktor-warnt-vor-weiteren-anschlagsversuchen-in-europa-viele-hinweise-auf-terrorverbindungen-bei-migranten-a2047997.html	
DIE WELT	Martin Schulz: Neue Vorwürfe gegen SPD-Kanzlerkandidat wegen Mitarbeiter-Begünstigungen	94	https://www.welt.de/politik/deutschland/article162163813/Neue-Vorwuerfe-gegen-SPD-Kanzlerkandidat-Schulz.html
merkur.de	Er tötete Anis Amri: Polizist schockt mit Hitlergruß im Netz	93	https://www.merkur.de/politik/er-toetete-anis-amri-polizist-schockt-mit-hitlergruss-im-netz-zr-7386350.html
t-online.de	Yildirim-Rede in Oberhausen: "Unglaubliche Frechheit der Türkei"	90	http://www.t-online.de/nachrichten/deutschland/gesellschaft/id_80374552/yildirim-rede-in-oberhausen-unglaubliche-frechheit-der-tuerkei-.html
yahoo.com	Milliardenüberschuss fließt in Rücklage für Flüchtlinge	78	https://de.nachrichten.yahoo.com/milliarden%C3%BCberschuss-flie%C3%9Ft-r%C3%BCcklage-f%C3%BCr-fl%C3%BCchtlinge-120932912.html
