media	title	num_likes	uri	entities
FOCUS Online	Tschechien: Innenminister will Bürger gegen Terroristen bewaffnen	458	http://www.focus.de/politik/ausland/tschechien-innenminister-will-buerger-gegen-terroristen-bewaffnen_id_6436145.html	tschechien;usa;wieso;tschechei;achim
krone.at	Streit um Gebetspausen: 190 Muslime entlassen - US-Firma bleibt hart	353	http://www.krone.at/welt/streit-um-gebetspausen-190-muslime-entlassen-us-firma-bleibt-hart-story-547433	meat;solutions;cargill;somalia;denver
waz.de	Brite sammelt über 150.000 Euro für getöteten Lkw-Fahrer	323	http://www.waz.de/politik/brite-sammelt-ueber-150-000-euro-fuer-getoeteten-lkw-fahrer-id209082551.htmlv	lukasz;amri;berlin;duncan;anis
Epoch Times	Trump nach Geheimdienstbericht: Nur "Dumme" gegen bessere Beziehungen zu Moskau	260	http://www.epochtimes.de/politik/welt/trump-will-gute-beziehungen-zu-moskau-verfolgen-gutes-verhaeltnis-zu-russland-ist-eine-gute-sache-keine-schlechte-a2018612.html	trump;russland;putin;usa;donald
wienerzeitung.at	Tausende kehren trotz Eiseskälte ins zerbombte Aleppo zurück	247	http://www.wienerzeitung.at/nachrichten/welt/weltpolitik/866056_Tausende-kehren-trotz-Eiseskaelte-ins-zerbombte-Aleppo-zurueck.html	malik;russland;aleppo;unhcr;syrien
Politically Incorrect	Nuhr-Portrait nicht erwünscht vom GEZ-Funk	223	http://www.pi-news.net/2017/01/nuhr-portrait-nicht-erwuenscht-vom-gez-funk/
Epoch Times	Migranten in Schweden desillusioniert und frustriert: "Ihr habt unser Leben ruiniert"	165	http://www.epochtimes.de/politik/europa/migranten-in-schweden-desillusioniert-und-frustriert-kein-haus-keine-freundin-a2014692.html	schweden;jumaa;mahmoud;breitbart;epoch
Facebook	"Wie kann eine sozial gerechte Familienpolitik gelingen?"	165	https://www.facebook.com/events/335309683515322/
DIE WELT	SPD-Chef: Gabriel will salafistische Moscheen schließen	160	https://www.welt.de/politik/deutschland/article160926560/Gabriel-will-salafistische-Moscheen-schliessen.html	maizière;gabriel;maaßen;angela;merkel
metropolico.org	Ralf Stegner: Der Prozentsatz deutscher Terroristen ist genauso hoch wie der unter Flüchtlingen	158	http://www.metropolico.org/2017/01/07/ralf-stegner-der-prozentsatz-deutscher-terroristen-ist-genauso-hoch-wie-der-unter-fluechtlingen/	stegner;stegners;deutschland;zdf;sirin
Junge Freiheit	Köln: Polizei verteidigt Silvestereinsatz	157	https://jungefreiheit.de/politik/deutschland/2017/koeln-polizei-verteidigt-silvestereinsatz/	köln;nafri;wendt;mathies;peter
Ein Prozent für unser Land	Frauenjagd in Köln, Terror in Berlin – Sicherheit jetzt!	142	https://einprozent.de/frauenjagd-in-koeln-terror-in-berlin-sicherheit-jetzt/	köln;deutschland;mainstreampolitiker;libyen;algerien
Epoch Times	Hamburg: Trotz Großaufgebot der Polizei mindestens 14 Sex-Attacken auf Frauen	137	http://www.epochtimes.de/politik/deutschland/hamburg-trotz-grossaufgebot-der-polizei-mindestens-14-sex-attacken-auf-frauen-a2013975.html	hamburg;timo;zill;beatles-platz/gro;steffen
FOCUS Online	Mazyek beklagt mehr "Feindseligkeit" gegen Muslime	136	http://m.focus.de/politik/videos/vorsitzender-des-zentralrats-der-muslime-mazyek-beklagt-mehr-feindseligkeit-gegen-muslime_id_6443629.html	mazyek;focus;nizza;deutschland;irak
Facebook	Dresdner Gespräche mit Bernd Höcke	125	https://www.facebook.com/events/605916526266879/
RT	IS-Terrorgefahr: Neues Lkw-Attentat in Deutschland vereitelt	123	https://deutsch.rt.com/inland/44976-is-terrorgefahr-neues-lkw-attentat/	deutschland;reuters;willy;damme;van
journalistenwatch.com	Ausgerechnet "Islam-Merkel" erhält einen Preis für "christliche Verantwortung"	121	http://www.journalistenwatch.com/2017/01/05/ausgerechnet-islam-merkel-erhaelt-einen-preis-fuer-christliche-verantwortung/	deutschland;merkel;mömbris;reinhard;bolz
DIE WELT	Millionenschaden: Diebe setzen BND-Zentrale unter Wasser	98	https://www.welt.de/politik/deutschland/article138069864/Diebe-setzen-neue-BND-Zentrale-unter-Wasser.html	bnd;deutschlands;dpa;berlin
reuters.com	BND sieht Seerettung im Mittelmeer als Anreiz zur Flucht	98	http://de.reuters.com/article/deutschland-fl-chtlinge-mittelmeer-idDEKBN14P1V3	kahl;bruno;bnd;germany;libyen
philosophia-perennis.com	Warum es bei uns leichter ist 14 Identitäten zu haben, als die GEZ nicht zu bezahlen	96	https://philosophia-perennis.com/2017/01/08/gez-nicht-bezahlen/	deutschland;date;gez;angela;afrikas
oe24.at	ISIS plant für 2017 die totale Konfrontation	95	http://www.oe24.at/welt/ISIS-plant-fuer-2017-die-totale-Konfrontation/264173234	irak;österreich;isis;syrien;mosul
weltderwunder.de	Welt der Wunder TV	91	http://www.weltderwunder.de/seiten/print	technik;hamburgs;hacker;merkel;natur
idea.de	Wir erleben eine Integration Deutschlands in den Islam	89	http://www.idea.de/gesellschaft/detail/publizist-wir-erleben-eine-integration-deutschlands-in-den-islam-99420.html	deutschland;frankreich;deutschlands;münchen;pro
Epoch Times	Terrorgefahr: Entwicklungsminister will alle Flüchtlinge erneut kontrollieren	80	http://www.epochtimes.de/politik/deutschland/wegen-terrorgefahr-entwicklungsminister-will-alle-fluechtlinge-erneut-kontrollieren-a2017062.html	deutschland;müller;csu;gerd;europa
Politically Incorrect	Warum die Deutschen nach dem Berliner Weihnachtsmarkt-Massaker nicht aufbegehren	79	http://www.pi-news.net/2017/01/warum-die-deutschen-nach-dem-berliner-weihnachtsmarkt-massaker-nicht-aufbegehren/#more-549375
journalistenwatch.com	Kurz vor der Amtsübergabe: Obama schenkt 22 Islamterroristen die Freiheit!	73	http://www.journalistenwatch.com/2017/01/06/kurz-vor-der-amtsuebergabe-obama-schenkt-22-islam-terroristen-die-freiheit/	obama;guantanamo;mohammed;saudi-arabien;quaida
Unzensuriert.at	Militärgeheimdienst sagt massive Einwanderungswelle aus Afrika voraus	73	https://www.unzensuriert.at/content/0022806-Militaergeheimdienst-sagt-massive-Einwanderungswelle-aus-Afrika-voraus	angela;merkel;europa;afrika;österreich
krone.at	Bomben in "Polizei-Pkw": Facebook-Islamist gefasst - Terrorserie geplant	71	http://www.krone.at/welt/bomben-in-polizei-pkw-facebook-islamist-gefasst-terrorserie-geplant-story-547634	wien;mediengesetz;bzw;multimedia;ecg
Epoch Times	Österreich alarmiert BKA: Vier IS-Terroristen über Griechenland in Deutschland eingereist	68	http://www.epochtimes.de/politik/deutschland/oesterreich-informiert-bka-ueber-vier-in-deutschland-eingereiste-is-terroristen-a2013916.html	deutschland;griechenland;bka;mossul;satar
t-online.de	Maas will Abschiebepraxis für islamistische Gefährder verschärfen	66	http://www.t-online.de/nachrichten/deutschland/id_80014716/maas-will-abschiebepraxis-fuer-islamistische-gefaehrder-verschaerfen.html	spd;maizière;thomas;oppermann;cdu
Wikipedia	Lily Allen	62	https://de.wikipedia.org/wiki/Lily_Allen	lily;you;großbritannien;sheezus;the
svz.de	MAG Schwerin: Streithähne greifen zum Dönermesser	62	http://www.svz.de/lokales/zeitung-fuer-die-landeshauptstadt/streithaehne-greifen-zum-doenermesser-id15761691.html	schwerin;mag
FOCUS Online	Lily Allen legt sich bei Twitter mit bekanntem britischen Islam-Feind an	62	http://www.focus.de/kultur/lily-allen-oeffentlicher-rassismus-streit-saengerin-legt-sich-mit-bekanntem-islam-feind-an_id_6440103.html	kaal;klaus;lothar;kiantxa;flöhl
presseportal.de	POL-HH: 170106-4. Scharfe Schusswaffe bei Fahrzeugkontrolle aufgefunden	62	http://www.presseportal.de/blaulicht/pm/6337/3528861	hamburg;hamburg-mümmelmannsberg;bmw;imei;kandinskyallee
FOCUS Online	Brand in Flüchtlingsheim bei Paderborn: Fünf Festnahmen – 30 Bewohner verletzt	61	http://m.focus.de/politik/deutschland/zahlreiche-verletzte-fuenf-festnahmen-nach-brand-in-fluechtlingsunterkunft-nahe-paderborn_id_6455459.html
Epoch Times	Trotz Mehrfachregistrierungen von Flüchtlingen: "Keine Pflicht zur Abgabe des Fingerabdrucks", sagt Ermittler	61	http://www.epochtimes.de/politik/deutschland/trotz-mehrfachregistrierungen-von-fluechtlingen-keine-pflicht-zur-abgabe-des-fingerabdrucks-sagt-ermittler-a2015556.html	meyer;soko;braunschweig;faz;euro
Compact Magazin	Verfassungsschutz half Anis Amris beim Umzug	61	https://www.compact-online.de/verfassungsschutz-half-anis-amri-beim-umzug-und-weitere-kuriositaeten/	amri;anis;dortmund;berlin;jäger
Facebook	Wie die Berliner an Silvester mit Böllern ausrasten	59	https://www.facebook.com/vicede/videos/728312770659665/?hc_ref=NEWSFEED
metropolico.org	Schlaglicht: Der Balkan-Tourismus boomt	58	http://metropolico.org/2017/01/01/schlaglicht-der-balkan-tourismus-boomt/	euro;deutschland;iran;irak;afghanistan
Compact Magazin	Deutschland war 2016 beliebtestes Asylland in der EU	56	https://www.compact-online.de/deutschland-war-2016-beliebtestes-asylland-in-der-eu/	deutschland;merkel;d.h.;angela;bärbel
philosophia-perennis.com	Kritik an Grünen: "Tichys Einblick" entschuldigt sich und löscht Artikel &#8211; philosophia perennis	52	https://philosophia-perennis.com/2017/01/08/tichys-einblick-entschuldigt-sich/	jemand;kissler
Junge Freiheit	ARD-Vorsitzende: Öffentlich-rechtliche Medien „wichtiger denn je“	51	https://jungefreiheit.de/kultur/medien/2017/ard-vorsitzende-oeffentlich-rechtliche-medien-wichtiger-denn-je/	zdf;dpa;karola;ard;hamburg
Die Identitären	Presse	51	http://www.identitaere-bewegung.de/presse/	deutschland;ibd;afd;eggeling;express
Junge Freiheit	Die Unruhe der Etablierten	49	https://jungefreiheit.de/debatte/kommentar/2017/die-unruhe-der-etablierten/	lammert;faz;norbert;hüter;nipperdey
jenaer-nachrichten.de	Silvester in Jena: 250 Ausländer lösen Polizeieinsatz aus	46	http://www.jenaer-nachrichten.de/stadtleben/5511-silvester-in-jena-250-ausl%C3%A4nder-l%C3%B6sen-polizeieinsatz-aus	jena;baumgarten/archiv;michael;steffi;kopp
20min.ch	Mehr IS-Sympathisanten – Polizei ist machtlos	43	http://www.20min.ch/schweiz/news/story/Mehr-IS-Sympathisanten---Polizei-ist-machtlos-19225703
abendblatt.de	Türkischer Verband macht Stimmung gegen christliche Kultur	39	http://m.abendblatt.de/hamburg/article209186093/Tuerkischer-Verband-macht-Stimmung-gegen-christliche-Kultur.html
paxeuropa.de	Flyer | Bürgerbewegung PAX EUROPA e.V.	39	http://paxeuropa.de/publikationen/flyer/	glossar;eur;flyer
philosophia-perennis.com	Niederländische Schüler lernen in einer Moschee wie man zu Allah betet	38	https://philosophia-perennis.com/2016/12/29/niederlande-moscheebesuch-schueler/	jule;immer;italien;berger;maria
