media	title	num_likes	uri	entities
Epoch Times	Anhänger feiern Trump - "Er tut genau das, was er im Wahlkampf versprochen hat"	355	http://www.epochtimes.de/politik/welt/anhaenger-feiern-trump-er-tut-genau-das-was-er-im-wahlkampf-versprochen-hat-a2039974.html
Facebook	Am heutigen Freitag beginnt in Dresden in wenigen Minuten der "Semperopernball 2017"	339	https://www.facebook.com/pegida.daebritz/posts/822175147920230?pnref=story
blick.ch	Louvre-Attacke: Foto des Macheten-Angreifers nach Attacke	284	http://www.blick.ch/schuesse-in-paris-louvre-evakuiert-id6160888.html
Epoch Times	CSU-Politiker: Alle überrascht - "Trump sagt nicht nur, was er denkt, sondern macht auch noch, was er sagt"	283	http://www.epochtimes.de/politik/deutschland/csu-politiker-alle-ueberrascht-trump-sagt-nicht-nur-was-er-denkt-sondern-macht-auch-noch-was-er-sagt-a2036825.html
Epoch Times	Syrischer Außenminister ruft alle syrischen Flüchtlinge auf, nach Hause zurückzukehren	281	http://www.epochtimes.de/politik/welt/syrischer-aussenminister-ruft-alle-syrische-fluechtlinge-auf-nach-hause-zurueckzukehren-a2041428.html	
en-volve.com	BREAKING: Trump Declares George Soros "National Security Threat" Using Obama's Own Executive Order!	267	http://en-volve.com/2017/01/31/breaking-trump-declares-george-soros-national-security-threat-using-obamas-own-executive-order/
Facebook	Dresden hat jedes Recht sich an die eigene Zerstörung zu erinnern, Hr Hilbert	225	https://www.facebook.com/alternativeimbundestag
Politically Incorrect	Trump handelt – Deutsche Politiker stänkern	223	http://www.pi-news.net/2017/01/trump-handelt-deutsche-politiker-staenkern/
wordpress.com	Trump will die Saudis dazu bringen, das Asylchaos zu lösen und hat damit Erfolg	200	https://karatetigerblog.wordpress.com/2017/02/01/trump-will-die-saudis-dazu-bringen-das-asylchaos-zu-loesen-und-hat-damit-erfolg/
reuters.com	Saudi king agrees in call with Trump to support Syria, Yemen safe zones: White House	200	http://mobile.reuters.com/article/idUSKBN15D14L
radiobremen.de	Bremen schiebt kriminellen Flüchtling ab - Abflug nach Marokko	185	http://m.radiobremen.de/politik/nachrichten/abschiebung-marokko-bremen100.html
maz-online.de	Michendorf – 19-Jährige wehrt Angreifer mit Pfefferspray ab	171	http://www.maz-online.de/Home/Polizei/19-Jaehrige-wehrt-Angreifer-mit-Pfefferspray-ab
t-online.de	Wahlen: Le Pen startet Wahlkampf mit Angriffen auf die EU	163	http://www.t-online.de/nachrichten/ausland/id_80268536/wahlen-le-pen-startet-wahlkampf-mit-angriffen-auf-die-eu.html	
handelsblatt.com	Merkel in der Türkei: Ein heikler Besuch	163	http://www.handelsblatt.com/my/politik/international/kanzlerin-trifft-erdogan-in-ankara-merkels-heikler-besuch/19332242.html?ticket=ST-113670-wiPEeUbagwJ6cuspBOg3-ap4	
philosophia-perennis.com	Islamisierung Europas – die wahren Hintergründe	153	https://philosophia-perennis.com/2016/11/29/islamisierung-europas-hintergruend/
philosophia-perennis.com	Wie lange wollen wir noch der eigenen Selbstzerstörung ohne Widerstand zusehen?	148	https://philosophia-perennis.com/2017/01/31/dschihad-in-deutschland-2/
FOCUS Online	Leipziger Plattenbau-Bewohner bauen Zaun zum Schutz vor Flüchtlingen	135	http://www.focus.de/politik/deutschland/leipziger-schotten-sich-ab-plattenbau-bewohner-bauen-zaun-zum-schutz-vor-fluechtlingen_id_6583882.html
philosophia-perennis.com	Die DDR ist von den Toten wieder auferstanden	134	https://philosophia-perennis.com/2017/01/29/die-ddr-ist-wieder-da/
Facebook	2017- Jahr der Entscheidung!	129	https://www.facebook.com/events/1297152590350258/
Spiegel Online	Sodom in Sachsen	127	http://m.spiegel.de/spiegel/print/d-45143910.html
DIE WELT	Flüchtlinge: Merkel kritisiert SPD-Regierung in Kiel wegen Abschiebestopps für Afghanen	125	https://www.welt.de/newsticker/news1/article161807988/Merkel-kritisiert-SPD-Regierung-in-Kiel-wegen-Abschiebestopps-fuer-Afghanen.html
Rheinische Post	Margot Käßmann: 'Ich kann nicht verstehen, wenn Christen AfD wählen'	123	http://m.rp-online.de/politik/deutschland/margot-kaessmann-ich-kann-nicht-verstehen-wenn-christen-afd-waehlen-aid-1.6576020	
Unzensuriert.at	Trump sei Dank! Migrationslüge weltweit unter Beschuss	121	https://www.unzensuriert.at/content/0023059-Trump-sei-Dank-Migrationsluege-weltweit-unter-Beschuss
DIE WELT	Sexuelle Übergriffe: Wie Hamburger Clubs sich jetzt wehren	120	https://www.welt.de/regionales/hamburg/article161768104/Wie-Klubs-jetzt-gegen-Grabscher-vorgehen.html
