media	title	num_likes	uri	entities
FOCUS Online	Anis A.: Das ist über den Terror-Verdächtigen von Berlin bekannt	8456	http://www.focus.de/politik/deutschland/anschlag-in-berlin-nach-ihm-fahndet-die-polizei-was-wir-ueber-anis-a-wissen_id_6387625.html	anis;berlin;nrw;kleve;jäger
dailymail.co.uk	Tunisian asylum seeker, 23, suspected of carrying out Berlin massacre was arrested THREE times this year amid fears he was planning a terror plot - but police let him go and are now offering 100,000 euros to anyone who finds him	8456	http://www.dailymail.co.uk/news/article-4054140/How-German-police-bungled-hunt-Europe-s-wanted-man-Asylum-seeker-23-wrongly-blamed-Christmas-market-massacre-jumping-red-light.html	the;berlin;germany;said;and
DIE WELT	Anschlag in Berlin: „Ich schlage dir den Kopf ab", drohte er dem Mithäftling	7304	https://www.welt.de/politik/deutschland/live160453735/Mutmasslicher-Anschlag-Die-Lage-im-Liveticker.html	amri;berlin;deutschland;anis;dpa
Alternative für Deutschland	NO_TITLE	3809	https://www.alternativefuer.de/wp-content/uploads/sites/7/2016/05/2016-06-27_afd-grundsatzprogramm_web-version.pdf	
bertelsmann-stiftung.de	Kinderarmut: Kinder im SGB-II-Bezug in Deutschland	3809	https://www.bertelsmann-stiftung.de/fileadmin/files/BSt/Publikationen/GrauePublikationen/Factsheet_WB_Kinderarmut_DE_09_2016.pdf
FOCUS Online	Jutta Cordt: Künftige Bamf-Chefin spricht erstmals über Pläne	3254	http://www.focus.de/politik/deutschland/jutta-cordt-kuenftige-bamf-chefin-spricht-erstmals-ueber-plaene_id_6372688.html	cordt;gerhard;joachim;tietze;laszka
FAZ	CDU und Wolfgang Schäuble sind bei Bargeld-Politik uneins	1671	http://www.faz.net/aktuell/wirtschaft/cdu-und-wolfgang-schaeuble-sind-bei-bargeld-politik-uneins-14581212.html	schäuble;cdu;deutschland;wolfgang;ezb
Facebook	Betroffenheitsbingo	14	https://m.facebook.com/story.php?story_fbid=1649510935349025&substory_index=0&id=1409399859360135
waz.de	Wie Marcus Pretzell die Tat von Berlin für die AfD instrumentalisiert	11	http://www.waz.de/panorama/wie-die-afd-die-tat-von-berlin-fuer-sich-instrumentalisiert-id209039125.html	berlin;pretzell;marcus;afd;merkels
express.co.uk	Markus Söder: Send back 'impossible to integrate' refugees	11	http://www.express.co.uk/news/world/704801/Markus-Soeder-refugees-send-back-impossible-to-integrate-Angela-Merkel	the;angela;merkel;reuters;germany
Facebook	NO_TITLE	10	https://www.facebook.com/Marcus.Pretzell.AfD/videos/1150286615036792/	
oe24.at	Nach Berlin: Trump sagt Terror den Kampf an	10	http://www.oe24.at/welt/Nach-Berlin-Trump-sagt-Terror-den-Kampf-an/262804135	trump;donald;germany;today;schweiz
Facebook	Was die Kanzlerin uns mit ihrer Rede wirklich sagt...	10	https://www.facebook.com/festnicolaus/videos/1445923328774683/
lbc.co.uk	Farage: Merkel Should Take Responsibility For Berlin...	10	http://www.lbc.co.uk/radio/presenters/nick-ferrari/farage-merkel-responsibility-for-berlin-attack/	berlin;merkel;angela;lbc;nigel
DIE WELT	Umfragen: Umfrage: AfD gewinnt nach Anschlag in Berlin deutlich an Zuspruch	9	https://www.welt.de/newsticker/news2/article160564406/Umfrage-AfD-gewinnt-nach-Anschlag-in-Berlin-deutlich-an-Zuspruch.html	afd;berlin
Youtube	Petra Federau (AfD): Live-Interview with RussiaToday (Berlin, 21 dec 2016)	9	https://www.youtube.com/watch?v=ayeKyx8QpKw	federau;angela;merkel;berlin;oliver
Süddeutsche.de	Mehr Wahlmänner stimmen gegen Clinton als gegen Trump	9	http://www.sueddeutsche.de/politik/us-wahl-mehr-wahlmaenner-rebellieren-gegen-clinton-als-gegen-trump-1.3303283	clinton;trump;usa;donald;eagle
Deutsche Wirtschaftsnachrichten	Umfrage: AfD gewinnt deutlich, CDU und SPD verlieren	9	https://deutsche-wirtschafts-nachrichten.de/2016/12/23/umfrage-afd-gewinnt-deutlich-cdu-und-spd-verlieren/?ls=fp	afd;spd;berlin;breitscheidplatz;fdp
brd-schwindel.org	NO_TITLE	8	http://brd-schwindel.org/pastor-jakob-tscharntke-ich-zaehle-sie-frau-merkel-zu-den-groessten-verbrechern-der-menschheitsgeschichte/
Facebook	Präsident Assad und seine Frau sowie Kinder sind heute in einem Waisenhaus in Sednaya (Damaskus-Umland) unterwegs und feiern mit den Waisen-Kindern Weihnachten und beschenken sie.	8	https://m.facebook.com/story.php?story_fbid=1304806712928080&id=131286843613412
Facebook	Ob Trump oder Brexit: die Welt befindet sich im Wandel, die alten Mehrheiten bröckeln zusehends.	8	https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1337945579569111/?type=3&theater
Sezession	Morgen Mahnwache vor dem Kanzleramt – ein Aufruf	8	http://sezession.de/56934/	z.b.;fuchs;pirmin;meier;voltaire
cicero.de	Nach dem Anschlag in Berlin - Schluss mit dem Floskel-Bingo!	8	http://cicero.de/berliner-republik/nach-dem-anschlag-in-berlin-schluss-mit-dem-floskelbingo	alexander;cicero;kissler;deutschland;berlin
Facebook	Durch den Anschlag in Berlin kommt Bundeskanzlerin Angela Merkel erneut in starke Bedrängnis.	8	https://www.facebook.com/oe24.at/videos/10158072200665529/
Facebook	NO_TITLE	7	https://m.facebook.com/story.php?story_fbid=570540156468821&id=329039423952230	
ZUERST!	  Kampfansage an die EU: Marine Le Pen bekräftigt „Frexit“-Ankündigung	7	http://zuerst.de/2016/12/24/kampfansage-an-die-eu-marine-le-pen-bekraeftigt-frexit-ankuendigung/	frankreich;juncker;jean-claude;ria;international
arcor.de	Kriminalität: Innenministerium: Derzeit 549 islamistische Gefährder	7	http://www.arcor.de/content/aktuell/regional_news/berlin_brandenburg/5482243,1,Kriminalit%C3%A4t--Innenministerium%3A-Derzeit-549-islamistische-Gef%C3%A4hrder,content.html	cookies
unser-mitteleuropa.com	Polizist schreibt offenen Brief an Merkel: „Sie sind für all das verantwortlich!“	7	http://unser-mitteleuropa.com/2016/08/31/polizist-schreibt-offenen-brief-an-merkel-sie-sind-fur-all-das-verantwortlich/	merkel;deutschland;euro;europa;angela
3sat.de	Merkel ermutigt zu ehrenamtlichem Engagement bei Integration	6	http://www.3sat.de/page/?source=/kulturzeit/news/190476/index.html
gofundme.com	For The Family Of Lukasz Urban by Dave Duncan	6	https://www.gofundme.com/van9vwuk	the;and;you;even;ariel
Facebook	Versagt der Rechtsstaat in Berlin	6	https://www.facebook.com/DorisvonSaynWittgensteinAfD/photos/a.1148287635257375.1073741828.1034236023329204/1220243081395163/?type=3
KenFM	Der „Anschlag“ von Berlin stinkt zum Himmel. 	6	https://www.facebook.com/KenFM.de/videos/10154002308676583/
Youtube	Vater: "Dankeschön, Frau Merkel"; Sohn liegt im Komae	6	https://www.youtube.com/watch?v=dNwBh0ssRhc	youtube
Youtube	Nicolaus Fest zum Anschlag in Berlin	6	https://www.youtube.com/watch?v=v-aHvu_v6hk&sns=em	youtube
Facebook	NO_TITLE	6	https://www.facebook.com/Hessenschau/videos/1355229484528672/	
picr.de	NO_TITLE	6	http://up.picr.de/27787213kn.jpg	
Facebook	- EINE BOTSCHAFT AN DIE FRAUEN - 	5	https://www.facebook.com/746224155503779/videos/1137852066340984/
bazonline.ch	Die Sätze, die den Bann brechen	5	http://bazonline.ch/ausland/terror-in-berlin/die-saetze-die-den-bann-brechen/story/10120130	deutschland;italien;tunesien;weiss;berlin
gatestoneinstitute.org	Eine politische Revolution beginnt sich in Europa zusammenzubrauen	5	https://de.gatestoneinstitute.org/9622/europa-politische-revolution	europa;merkel;deutschland;europas;niederlanden
Berliner Zeitung	Berlin-Anschlag Online-Petition fordert Bundesverdienstkreuz für polnischen Lkw-Fahrer	5	http://www.berliner-zeitung.de/25370240
nordbayerischer-kurier.de	Gauland: AfD nicht Schuld an Aggressivität	5	http://www.nordbayerischer-kurier.de/nachrichten/gauland-afd-nicht-schuld-aggressivitat_538544	gauland;alexander;afd;angela;merkel
Facebook	Live vor der CDU Zentrale	5	https://www.facebook.com/merkelmusswegmittwoch/videos/vb.126865427778439/197787557352892/?type=3&theater
Facebook	Terror, Islamismus, Extremismus,...	5	https://www.facebook.com/AfDNuernberg/photos/a.558043487576182.1073741832.547538231960041/1195307550516436/?type=3&theater
thueringer-allgemeine.de	Betonblöcke auf der Straße: Erfurt erhöht Schutz für Weihnachtsmarkt auf Domplatz	4	http://www.thueringer-allgemeine.de/startseite/detail/-/specific/Betonbloecke-auf-der-Strasse-Erfurt-erhoeht-Schutz-fuer-Weihnachtsmarkt-auf-dem-1768529123
bazonline.ch	Die Sätze, die den Bann brechen	4	http://mobile2.bazonline.ch/articles/585cf2a1ab5c370516000001
Facebook	Das vielfältige Deutschland braucht einen vielfältigeren Lieder-Kanon zum Fest.	4	https://m.facebook.com/story.php?story_fbid=407037279687450&id=264573650600481
Epoch Times	So hart kommentieren Leser Berliner LKW-Anschlag: "Bundesregierung politisch erledigt"	4	http://www.epochtimes.de/politik/deutschland/so-hart-kommentieren-leser-berliner-lkw-anschlag-bundesregierung-politisch-erledigt-a2004397.html	deutschland;merkel;berlin;ute;michael
Facebook	NACH DEM SCHOCK - IST DIE ZEIT ZUM KAMPF ANGESAGT!	4	https://www.facebook.com/prezidentka2018/videos/1850735085196107/?pnref=story	zum;hrušková;jana;dem;schock
t-online.de	Varoufakis: 'Gabriel ist der schlimmste Politiker, den ich kenne'	4	http://www.t-online.de/nachrichten/ausland/eu/id_76459906/varoufakis-gabriel-ist-der-schlimmste-politiker-den-ich-kenne-.html	varoufakis;tsipras;gabriel;athen;ezb
