media	title	num_likes	uri	entities
Facebook	Der Kommentar zu den Übergriffen durch Flüchtlinge	539	https://www.facebook.com/rtlwest/videos/1262139937170334/?pnref=story
idea.de	Renommierter Kirchenrestaurator tritt aus Kirche aus	388	http://www.idea.de/frei-kirchen/detail/renommierter-kirchenrestaurator-tritt-aus-der-kirche-aus-99244.html	bennert;ekd;deutschland;wulf;lieberknecht
Epoch Times	Von 800 „minderjährigen“ Flüchtlingen 600 volljährig: Dänemarks Röntgentest enttarnt Altersbetrüger	275	http://www.epochtimes.de/politik/europa/von-800-minderjaehrigen-fluechtlingen-600-volljaehrig-daenemarks-roentgentest-enttarnt-altersbetrueger-a1995108.html	großbritannien;dänemark;støjberg;singer;dänemarkfoto
Epoch Times	Niederlande: Gericht spricht Wilders der Diskriminierung schuldig	169	http://www.epochtimes.de/politik/europa/niederlande-gericht-spricht-wilders-der-diskriminierung-schuldig-a1995912.html	wilders;geert;niederlanden;epoch;times9
Sputnik	Aleppo: Mehr als tausend Kämpfer legen Waffen nieder – 50.000 Zivilisten evakuiert	166	https://de.sputniknews.com/panorama/20161210313710752-aleppo-zivilisten-evakuiert/	aleppo;konaschenkow;reuters;russland;usa
pegida.de	18.12.2016 Weihnachten mit PEGIDA	149	http://livestream.pegida.de	youtube
Junge Freiheit	Kölner Asylinitiativen fehlen freiwillige Helfer	116	https://jungefreiheit.de/politik/deutschland/2016/koelner-asylinitiativen-fehlen-freiwillige-helfer/	freiwillige;wolfang;schmitz;prölß;flüchtlingsratsmitglied
Facebook	Advent, Advent ein Lichtlein brennt...	115	https://www.facebook.com/events/378823575793013/
dw.com	Niederlande: Terrorverdächtiger mit geladenem Maschinengewehr gefasst	96	http://www.dw.com/de/niederlande-terrorverd%C3%A4chtiger-mit-geladenem-maschinengewehr-gefasst/a-36713514	niederlande;euro;rotterdam;niederlanden;dpa
twitter.com	André Schulz auf Twitter: "@focusonline Der Artikel hätte auch gut in den 'Stürmer' gepasst!"	91	https://twitter.com/BDK_BuVo/status/807269857460948992
twitter.com	Ich habe wieder versehentlich die rechten Trolle gefüttert, mein Fehler	91	https://mobile.twitter.com/BDK_BuVo/status/807541717822013440
FOCUS Online	Nach Mord an Maria L. in Freiburg: Realität lässt sich nicht verdrängen	91	http://www.focus.de/politik/deutschland/kisslers-konter/kisslers-konter-es-ist-was-faul-im-staate_id_6317662.html	deutschland;gabriel;freiburg;palmer;merkel
Epoch Times	Merkels fulminante Rede über Migration, Integration und kritische Bürger: "Unser Gesetz hat Vorrang vor Scharia"	88	http://www.epochtimes.de/politik/deutschland/cdu-parteitag-merkels-fulminante-rede-ueber-migration-integration-und-kritische-buerger-unser-gesetz-hat-vorrang-vor-scharia-a1993221.html	merkel;deutschland;merkels;tobias;angela
Politically Incorrect	Anzeige gegen U-Bahn-Video-Herausgeber	86	http://www.pi-news.net/2016/12/anzeige-gegen-u-bahn-video-herausgeber/
krone.at	Junge Frauen machten VdB zum Bundespräsidenten	82	http://www.krone.at/oesterreich/junge-frauen-machten-vdb-zum-bundespraesidenten-wer-wen-gewaehlt-hat-story-542593
krone.at	Sexattacke: Afghanen fielen in Zug über Frau her	82	http://www.krone.at/oesterreich/sexattacke-afghanen-fielen-in-zug-ueber-frau-her-zeugin-schritt-ein-story-542656
Politically Incorrect	SC Freiburg-Trainer nennt Maria-Mörder „Bub“	73	http://www.pi-news.net/2016/12/sc-freiburg-trainer-hetzt-gegen-afd-und-fpoe/
Politically Incorrect	Katholische Jugend wirbt gemeinsam mit DITIB	68	http://www.pi-news.net/2016/12/katholische-jugend-wirbt-gemeinsam-mit-ditib/
Ein Prozent für unser Land	Skandal in Sachsen: Asylindustrie kassiert Millionen	68	https://einprozent.de/skandal-in-sachsen-asylindustrie-kassiert-29-millionen/	sachsen;dresden;euro;ggmbh;pegida
Rheinische Post	Langenfeld: Junge Männer greifen Musikschullehrer an	64	http://www.rp-online.de/nrw/staedte/langenfeld/junge-maenner-greifen-musikschullehrer-an-aid-1.6455473	stephan;meisel;langenfeld;löhe;frank
Youtube	Polizei-Videos aus der Silvesternacht zeigen das Chaos vor dem Kölner Hauptbahnhof	63	https://www.youtube.com/watch?v=scaSu1CvHhU&feature=youtu.be	youtube
bayernkurier.de	Was uns erwartet: Frauen im Islam: Menschen zweiter Klasse	63	https://www.bayernkurier.de/inland/11511-frauen-im-islam-menschen-zweiter-klasse	marokko;tunesien;jordanien;irak;pakistan
Freie Presse	Stefanie Kloß soll zur Bundespräsidenten-Wahl	56	http://www.freiepresse.de/NACHRICHTEN/SACHSEN/Stefanie-Kloss-soll-zur-Bundespraesidenten-Wahl-artikel9707008.php	silbermond;spd;dulig;bautzen;stefanie
Junge Freiheit	Mann übergießt Frau mit Benzin und zündet sie an: tot	56	https://jungefreiheit.de/kultur/gesellschaft/2016/mann-uebergiess-frau-mit-benzin-und-zuendet-sie-an/	deutschland;afrika;dpa;kiel;kronshagen
BZ Berlin	Islam-Streit in der SPD: Müllers Neue sorgt für Ärger	56	http://www.bz-berlin.de/landespolitik/islam-streit-in-der-spd-muellers-neue-sorgt-fuer-aerger	müllers;islam-streit;spd;bald-staatssekretärin
deutschlandfunk.de	Fluchthilfepreis - Illegale Heldentat	45	http://www.deutschlandfunk.de/fluchthilfepreis-illegale-heldentat.1769.de.html?dram%3Aarticle_id=373150	ramesh;hagelstein;afghanistan;franziska;deutschland
