media	title	num_likes	uri	entities
FOCUS Online	Jutta Cordt: Neue Bamf-Chefin im Interview	4175	http://www.focus.de/politik/deutschland/politik-und-gesellschaft-wie-viele-fluechtlinge-erwarten-sie-in-diesem-jahr-frau-cordt_id_6487967.html
FOCUS Online	Frau belastet Chefs: Behörden vertuschten Sozialbetrug durch Asylbewerber	4114	http://www.focus.de/panorama/videos/in-niedersachsen-mitarbeiterin-belastet-chefs-behoerden-vertuschten-sozialbetrug-durch-asylbewerber_id_6544969.html
tagesspiegel.de	Gabriel: "Wir wollen in acht Monaten nochmal überraschen"	3612	http://www.tagesspiegel.de/politik/kanzlerkandidat-und-spd-vorsitz-sigmar-gabriel-macht-platz-fuer-martin-schulz/19297298.html
DIE WELT	Grenze zu Österreich: Eisige Kälte macht Flüchtlingen unterwegs zu schaffen	2388	https://www.welt.de/regionales/bayern/article161477212/Eisige-Kaelte-macht-Fluechtlingen-unterwegs-zu-schaffen.html
FOCUS Online	Karl-Theodor zu Guttenberg: CSU will Wahlkampf mit Ex-Minister machen	1609	http://www.focus.de/politik/deutschland/rueckkehr-in-deutsche-politik-csu-will-wahlkampf-mit-guttenberg-machen_id_6558880.html
Alternative für Deutschland	NO_TITLE	1609	https://www.alternativefuer.de/wp-content/uploads/sites/7/2016/05/2016-06-27_afd-grundsatzprogramm_web-version.pdf	
FOCUS Online	Syrische Botschaft soll falsche Pässe gegen Extragebühr ausgestellt haben	1587	http://www.focus.de/politik/deutschland/fuer-530-euro-syrer-werden-syrische-botschaft-soll-falsche-paesse-gegen-extragebuehr-ausgestellt-haben_id_6558017.html
Spiegel Online	Lehrer ausspioniert: Vorwürfe und Ermittlungen gegen Ditib	871	http://www.spiegel.de/lebenundlernen/schule/lehrer-ausspioniert-vorwuerfe-und-ermittlungen-gegen-ditib-a-1131406.html
tagesschau.de	Neuer Dienst von funk: Novi - Nachrichten im Chatformat	801	http://www.tagesschau.de/inland/novi-103.html
mdr.de	Fakt ist! Aus Magdeburg	529	http://www.mdr.de/tv/programm/sendung709876_date-2017-01-23_ipgctx-true_zc-b99518d0.html
Facebook	Inhaltliche Debatte jetzt führen!	474	https://www.facebook.com/driesang.afd/posts/1013692682098145
Facebook	The Portland Police Bureau was quick to respond as protesters blocked traffic in the downtown area Wednesday afternoon.	39	https://www.facebook.com/fox12oregon/videos/10155066468878701/
Facebook	+++ Schulz so UNBELIEBT wie Merkel +++	19	https://www.facebook.com/AfDBgL/photos/a.1400119830265741.1073741829.1396976483913409/1856257457985307/?type=3&theater&notif_t=photo_comment&notif_id=1485460149437282
Facebook	Teures Polit-Mobbing: AfD NRW zeigt Stadtrat Oberhausen wegen Untreue an	10	https://www.facebook.com/AfDfuerNRW/photos/a.469075843164402.1073741828.459077044164282/1352683434803634/?type=3
FOCUS Online	Parteien: Gauland Spitzenkandidat der AfD in Brandenburg	9	http://www.focus.de/regional/brandenburg/parteien-afd-in-brandenburg-setzt-mitgliederversammlung-fort_id_6561141.html
Facebook	Dirk Driesang	9	https://www.facebook.com/driesang.afd/
Facebook	Wir brauchen keinen Feminismus. #femininstattfeministisch	9	https://m.facebook.com/JANordbaden/photos/a.1643236179225999.1073741829.1627059710843646/1855952617954353/?type=3&source=48
merkur.de	Anerkennung für Ungarns Regierungschef: Donald Trump lädt Viktor Orban nach Washington ein	8	https://www.merkur.de/politik/anerkennung-fuer-ungarns-regierungschef-donald-trump-laedt-viktor-orban-nach-washington-ein-zr-7014214.html
cnn.com	Gigapixel: The inauguration of Donald Trump	8	http://edition.cnn.com/interactive/2017/01/politics/trump-inauguration-gigapixel/
Facebook	FPÖ: Strache zu Holocaust-Gedenktag: Antisemitismus darf nie wieder geduldet werden	7	https://www.facebook.com/HCStrache/photos/a.226243068590.133860.74865038590/10154617414268591/?type=3
fbcdn.net	NO_TITLE	6	https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-9/16406562_379606612417195_6676130622012498434_n.jpg?oh=9a85d3c131e4944395a0177339833b98&oe=591C3F3E	
mz-web.de	Risch schickt AfD-Mann weg	6	http://www.mz-web.de/25633700
