media	title	num_likes	uri	entities
Alternative für Deutschland	NO_TITLE	8173	https://www.alternativefuer.de/wp-content/uploads/sites/7/2016/05/2016-06-27_afd-grundsatzprogramm_web-version.pdf	
FOCUS Online	Merkel und Hollande für Verlängerung der EU-Sanktionen gegen Russland	3612	http://www.focus.de/politik/ausland/ukraine-konflikt-merkel-und-hollande-fuer-verlaengerung-der-eu-sanktionen-gegen-russland_id_6347064.html	russland;merkel;krim;ukraine;korbmacher
DIE WELT	Festnahme und Abschiebung: 280.000 Ausländer zur Fahndung ausgeschrieben	3372	https://www.welt.de/politik/deutschland/article158615977/280-000-Auslaender-zur-Fahndung-ausgeschrieben.html	bka;autoplay
morgenpost.de	Bundesinnenminister Thomas de Maiziere: Viele Straftäter unter abgeschobenen Afghanen	3372	https://www.morgenpost.de/politik/article208989789/Abschiebung-trotz-Protest-34-Afghanen-nach-Kabul-geflogen.html
digitalfernsehen.de	ARD will Rundfunkbeitrag schrittweise anheben	3241	http://www.digitalfernsehen.de/ARD-will-Rundfunkbeitrag-schrittweise-anheben.147476.0.html	ard;euro;epd
brightcove.net	NO_TITLE	2502	http://players.brightcove.net/18140073001/65fa926a-0fe0-4031-8cbf-9db35cecf64a_default/index.html?videoId=5247712826001	
FOCUS Online	Schule: Lehrer klagen über Noten-"Inflation" beim Abitur	2432	http://www.focus.de/familie/schule/schule-lehrer-klagen-ueber-noten-inflation-beim-abitur_id_6327470.html	bayern;deutschland;sachsen;ddr;silas
Facebook	Gutmenschen bürgen für "Flüchtlinge" und müssen jetzt zahlen	21	https://www.facebook.com/blankenburgwehrtsich2/videos/1794000637518522/
frank-hansel.de	Die AfD im Jahre 4:  Die Gefahren auf der Zielgeraden	8	http://frank-hansel.de/die-afd-im-jahre-4-die-gefahren-auf-der-zielgeraden	afd;deutschland;jemand;euro;uro
Facebook	NO_TITLE	6	https://www.facebook.com/OhneWorte2015/photos/a.464166660351578.1073741832.449628281805416/916722455095994/?type=3&theater	
RT	Journalistin zerlegt in den UN in 2 Minuten die Glaubwürdigkeit der Mainstream-Presse zu Syrien	6	https://www.youtube.com/watch?v=LNV3mPTYm2s	youtube
DIE WELT	Flüchtlinge: Österreich legt Vision für EU-Abschottungspolitik vor	6	https://www.welt.de/politik/ausland/article160313722/Oesterreich-legt-Vision-fuer-EU-Abschottungspolitik-vor.html	europa;europas;österreich;rumänien;wien
Facebook	We're going to start saying 'Merry Christmas' again!	5	https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10158281524825725/?type=3
BILD.de	Scharia und Stasi im neuen Senat! Mich schüttelt’s	5	http://www.bild.de/regional/berlin/buschkowsky-kolumne/scharia-und-stasi-im-neuen-senat-mich-schuettelts-49300114.bild.html?wtmc=fb.shr
